ID,Subject,Topic,Difficulty,Question,Choice A,Choice B,Choice C,Choice D,Answer,Solution
MATH-001,Mathematics,Integral Calculus,Moderate,Find the derivative of f(x) = x³ − 5x² + 3x − 7.,3x² − 10x + 3,3x² − 5x + 3,x³ − 10x + 3,3x² − 10x − 7,3x² − 10x + 3,"Using the Power Rule: d/dx[xⁿ] = nxⁿ⁻¹. Differentiate each term: d/dx[x³] = 3x², d/dx[−5x²] = −10x, d/dx[3x] = 3, d/dx[−7] = 0. Result: f'(x) = 3x² − 10x + 3."
MATH-002,Mathematics,Differential Equations,Moderate,What is the integral of cos(x) dx?,sin(x) + C,-sin(x) + C,cos(x) + C,-cos(x) + C,sin(x) + C,"The integral of cos(x) is a standard result. Since d/dx[sin(x)] = cos(x), it follows that ∫ cos(x) dx = sin(x) + C."
MATH-003,Mathematics,Advanced Engineering Math,Difficult,Solve the differential equation dy/dx = 3x².,y = x³ + C,y = 3x³ + C,y = x² + C,y = 6x + C,y = x³ + C,Separate variables: dy = 3x² dx. Integrate both sides: ∫ dy = ∫ 3x² dx → y = x³ + C. This is the general solution.
MATH-004,Mathematics,Engineering Data Analysis,Easy,Evaluate the limit of (x² - 1)/(x - 1) as x approaches 1.,0,1,2,Undefined,2,Direct substitution gives 0/0 (indeterminate). Factor: (x²−1)/(x−1) = (x+1)(x−1)/(x−1) = x+1. As x→1: limit = 1+1 = 2.
MATH-005,Mathematics,Differential Calculus,Difficult,What is the Laplace transform of 1?,1/s,s,1/s²,1,1/s,By definition of the Laplace transform: L{1} = ∫₀^∞ e^(−st)·1 dt = [−e^(−st)/s]₀^∞ = 0 − (−1/s) = 1/s.
MATH-006,Mathematics,Integral Calculus,Difficult,Find the magnitude of the complex number 3 + 4i.,5,7,25,12,5,The magnitude of a complex number a + bi is |z| = √(a² + b²). For 3 + 4i: |z| = √(3² + 4²) = √(9 + 16) = √25 = 5.
MATH-007,Mathematics,Differential Equations,Moderate,What is the probability of getting a sum of 7 when rolling two standard dice?,1/6,1/12,1/36,1/7,1/6,"Combinations that sum to 7: (1,6),(2,5),(3,4),(4,3),(5,2),(6,1) = 6 favorable outcomes. Total outcomes = 6×6 = 36. P = 6/36 = 1/6."
MATH-008,Mathematics,Advanced Engineering Math,Easy,Find the second derivative of y = sin(x).,-sin(x),cos(x),-cos(x),sin(x),-sin(x),First derivative: dy/dx = cos(x). Second derivative: d²y/dx² = d/dx[cos(x)] = −sin(x).
MATH-009,Mathematics,Engineering Data Analysis,Moderate,"What is the dot product of vectors <1, 2> and <3, 4>?",11,10,14,7,11,"Dot product of <a₁,a₂> · <b₁,b₂> = a₁b₁ + a₂b₂. So <1,2>·<3,4> = (1)(3) + (2)(4) = 3 + 8 = 11."
MATH-010,Mathematics,Differential Calculus,Easy,Evaluate integral of e^x dx.,e^x + C,xe^x + C,e^x/x + C,ln(x) + C,e^x + C,"The integral of eˣ is a fundamental result: ∫ eˣ dx = eˣ + C, since d/dx[eˣ] = eˣ."
MATH-011,Mathematics,Integral Calculus,Easy,Evaluate ∫ 3x² dx.,x³ + C,3x³ + C,6x + C,x²/2 + C,x³ + C,Apply the Power Rule for integration: ∫ xⁿ dx = xⁿ⁺¹/(n+1) + C. So ∫ 3x² dx = 3·(x³/3) + C = x³ + C.
MATH-012,Mathematics,Differential Equations,Easy,Which of the following is a solution to dy/dx = y?,y = Ceˣ,y = Ce^(−x),y = Cx,y = C,y = Ceˣ,"If dy/dx = y, the solution is found by separation: dy/y = dx → ln|y| = x + C → y = Ceˣ. Verify: d/dx[Ceˣ] = Ceˣ = y. ✓"
MATH-013,Mathematics,Advanced Engineering Math,Easy,"What is the determinant of the matrix [[2,3],[1,4]]?",5,11,8,−5,5,"For a 2×2 matrix [[a,b],[c,d]], det = ad − bc. det([[2,3],[1,4]]) = (2)(4) − (3)(1) = 8 − 3 = 5."
MATH-014,Mathematics,Engineering Data Analysis,Difficult,"In a data set, the value that appears most often is called the:",Mode,Mean,Median,Range,Mode,"The mode is the value that appears most frequently in a data set. (Mean = average, Median = middle value, Range = max − min.)"
MATH-015,Mathematics,Differential Calculus,Easy,What is the derivative of f(x) = 5x⁴?,20x³,5x³,4x³,20x⁵,20x³,Apply the Power Rule: d/dx[xⁿ] = nxⁿ⁻¹. So d/dx[5x⁴] = 5 × 4x³ = 20x³.
